1515814478.492218	tj1-s-staging-rec06.kscn	32332/14640	configserver	runserver	event	starting/1 name="java -Xms128m -Xmx2048m -XX:+PreserveFramePointer -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=/home/work/vespa/var/crash -XX:OnOutOfMemoryError=kill -9 %p -Djava.library.path=/home/work/vespa/lib64 -Djava.awt.headless=true -Dsun.rmi.dgc.client.gcInterval=3600000 -Dsun.net.client.defaultConnectTimeout=5000 -Dsun.net.client.defaultReadTimeout=60000 -Djavax.net.ssl.keyStoreType=JKS -Djdisc.config.file=/home/work/vespa/var/jdisc_core/configserver.properties -Djdisc.export.packages= -Djdisc.cache.path=/home/work/vespa/var/vespa/bundlecache/configserver -Djdisc.debug.resources=false -Djdisc.bundle.path=/home/work/vespa/lib/jars -Djdisc.logger.enabled=true -Djdisc.logger.level=ALL -Djdisc.logger.tag=jdisc/configserver -Dfile.encoding=UTF-8 -Dzookeeperlogfile=/home/work/vespa/logs/vespa/zookeeper.configserver.log -cp /home/work/vespa/lib/jars/jdisc_core-jar-with-dependencies.jar com.yahoo.jdisc.core.StandaloneMain standalone-container-jar-with-dependencies.jar (pid 32333)"
1515814479.46421	tj1-s-staging-rec06.kscn	32333	configserver	stdout	debug	Initializing application without privileges.
1515814479.106	tj1-s-staging-rec06.kscn	32333	jdisc/configserver	org.apache.felix.framework	info	ServiceEvent REGISTERED
1515814479.107	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.ApplicationLoader	debug	App location is not a class name. Installing bundle
1515814479.107	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	Installing OSGi bundle from 'file:/home/work/vespa/lib/jars/standalone-container-jar-with-dependencies.jar'.
1515814479.127	tj1-s-staging-rec06.kscn	32333	jdisc/configserver	standalone-container	info	BundleEvent INSTALLED
1515814479.128	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	OSGi bundle 'standalone-container' requires install from 'configdefinitions-jar-with-dependencies.jar'.
1515814479.129	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	Installing OSGi bundle from 'file:/home/work/vespa/lib/jars/configdefinitions-jar-with-dependencies.jar'.
1515814479.131	tj1-s-staging-rec06.kscn	32333	jdisc/configserver	configdefinitions	info	BundleEvent INSTALLED
1515814479.132	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	OSGi bundle 'standalone-container' requires install from 'config-provisioning-jar-with-dependencies.jar'.
1515814479.132	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	Installing OSGi bundle from 'file:/home/work/vespa/lib/jars/config-provisioning-jar-with-dependencies.jar'.
1515814479.134	tj1-s-staging-rec06.kscn	32333	jdisc/configserver	config-provisioning	info	BundleEvent INSTALLED
1515814479.134	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	OSGi bundle 'standalone-container' requires install from 'config-bundle-jar-with-dependencies.jar'.
1515814479.134	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	Installing OSGi bundle from 'file:/home/work/vespa/lib/jars/config-bundle-jar-with-dependencies.jar'.
1515814479.149	tj1-s-staging-rec06.kscn	32333	jdisc/configserver	config-bundle	info	BundleEvent INSTALLED
1515814479.149	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	OSGi bundle 'standalone-container' requires install from 'config-model-api-jar-with-dependencies.jar'.
1515814479.149	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	Installing OSGi bundle from 'file:/home/work/vespa/lib/jars/config-model-api-jar-with-dependencies.jar'.
1515814479.151	tj1-s-staging-rec06.kscn	32333	jdisc/configserver	config-model-api	info	BundleEvent INSTALLED
1515814479.151	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	OSGi bundle 'standalone-container' requires install from 'config-model-jar-with-dependencies.jar'.
1515814479.151	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	Installing OSGi bundle from 'file:/home/work/vespa/lib/jars/config-model-jar-with-dependencies.jar'.
1515814479.173	tj1-s-staging-rec06.kscn	32333	jdisc/configserver	config-model	info	BundleEvent INSTALLED
